DevelopmentRegion,SGC,SGC_5digit,Regional District,RD-name-2,RD-PTT-grp,SGC,Municipality,Area Type,Municipal_PTT_grp
Kootenay ,1000,1000,East Kootenay,East Kootenay,East Kootenay,1043,Canal Flats,VL,NA
Kootenay ,1000,1000,East Kootenay,East Kootenay,East Kootenay,1022,Cranbrook,CY,NA
Kootenay ,1000,1000,East Kootenay,East Kootenay,East Kootenay,1003,Elkford,DM,NA
Kootenay ,1000,1000,East Kootenay,East Kootenay,East Kootenay,1012,Fernie,CY,NA
Kootenay ,1000,1000,East Kootenay,East Kootenay,East Kootenay,1039,Invermere,DM,NA
Kootenay ,1000,1000,East Kootenay,East Kootenay,East Kootenay,1028,Kimberley,CY,NA
Kootenay ,1000,1000,East Kootenay,East Kootenay,East Kootenay,1040,Radium Hot Springs,VL,NA
Kootenay ,1000,1000,East Kootenay,East Kootenay,East Kootenay,1006,Sparwood,DM,NA
Kootenay ,1000,1000,East Kootenay,East Kootenay,East Kootenay,1999,Unincorporated Areas,RDR,NA
Kootenay ,3000,3000,Central Kootenay,Central Kootenay,Central Kootenay,3045,Castlegar,CY,NA
Kootenay ,3000,3000,Central Kootenay,Central Kootenay,Central Kootenay,3004,Creston,T,NA
Kootenay ,3000,3000,Central Kootenay,Central Kootenay,Central Kootenay,3023,Kaslo,VL,NA
Kootenay ,3000,3000,Central Kootenay,Central Kootenay,Central Kootenay,3050,Nakusp,VL,NA
Kootenay ,3000,3000,Central Kootenay,Central Kootenay,Central Kootenay,3015,Nelson,CY,NA
Kootenay ,3000,3000,Central Kootenay,Central Kootenay,Central Kootenay,3032,New Denver,VL,NA
Kootenay ,3000,3000,Central Kootenay,Central Kootenay,Central Kootenay,3011,Salmo,VL,NA
Kootenay ,3000,3000,Central Kootenay,Central Kootenay,Central Kootenay,3027,Silverton,VL,NA
Kootenay ,3000,3000,Central Kootenay,Central Kootenay,Central Kootenay,3019,Slocan,VL,NA
Kootenay ,3000,3000,Central Kootenay,Central Kootenay,Central Kootenay,3999,Unincorporated Areas,RDR,NA
Kootenay ,5000,5000,Kootenay-Boundary,Kootenay-Boundary,Kootenay-Boundary,5005,Fruitvale,VL,NA
Kootenay ,5000,5000,Kootenay-Boundary,Kootenay-Boundary,Kootenay-Boundary,5032,Grand Forks,CY,NA
Kootenay ,5000,5000,Kootenay-Boundary,Kootenay-Boundary,Kootenay-Boundary,5042,Greenwood,CY,NA
