DevelopmentRegion,SGC,SGC_5digit,Regional District,RD-name-2,RD-PTT-grp,SGC,Municipality,Area Type,Municipal_PTT_grp
Kootenay ,5000,5000,Kootenay-Boundary,Kootenay-Boundary,Kootenay-Boundary,5037,Midway,VL,NA
Kootenay ,5000,5000,Kootenay-Boundary,Kootenay-Boundary,Kootenay-Boundary,5009,Montrose,VL,NA
Kootenay ,5000,5000,Kootenay-Boundary,Kootenay-Boundary,Kootenay-Boundary,5023,Rossland,CY,NA
Kootenay ,5000,5000,Kootenay-Boundary,Kootenay-Boundary,Kootenay-Boundary,5014,Trail,CY,NA
Kootenay ,5000,5000,Kootenay-Boundary,Kootenay-Boundary,Kootenay-Boundary,5018,Warfield,VL,NA
Kootenay ,5000,5000,Kootenay-Boundary,Kootenay-Boundary,Kootenay-Boundary,5999,Unincorporated Areas,RDR,NA
Thompson/Okanagan,7000,7000,Okanagan-Similkameen,Okanagan-Similkameen,Okanagan-Similkameen,7009,Keremeos,VL,NA
Thompson/Okanagan,7000,7000,Okanagan-Similkameen,Okanagan-Similkameen,Okanagan-Similkameen,7014,Oliver,T,NA
Thompson/Okanagan,7000,7000,Okanagan-Similkameen,Okanagan-Similkameen,Okanagan-Similkameen,7005,Osoyoos,T,NA
Thompson/Okanagan,7000,7000,Okanagan-Similkameen,Okanagan-Similkameen,Okanagan-Similkameen,7041,Penticton,CY,NA
Thompson/Okanagan,7000,7000,Okanagan-Similkameen,Okanagan-Similkameen,Okanagan-Similkameen,7024,Princeton,T,NA
Thompson/Okanagan,7000,7000,Okanagan-Similkameen,Okanagan-Similkameen,Okanagan-Similkameen,7035,Summerland,DM,NA
Thompson/Okanagan,7000,7000,Okanagan-Similkameen,Okanagan-Similkameen,Okanagan-Similkameen,7999,Unincorporated Areas,RDR,NA
Mainland/Southwest,9000,9000,Fraser Valley,Fraser Valley,Fraser Valley,9052,Abbotsford,CY,NA
Mainland/Southwest,9000,9000,Fraser Valley,Fraser Valley,Fraser Valley,9020,Chilliwack,CY,NA
Mainland/Southwest,9000,9000,Fraser Valley,Fraser Valley,Fraser Valley,9027,Harrison Hot Springs,VL,NA
Mainland/Southwest,9000,9000,Fraser Valley,Fraser Valley,Fraser Valley,9009,Hope,DM,NA
Mainland/Southwest,9000,9000,Fraser Valley,Fraser Valley,Fraser Valley,9032,Kent,DM,NA
Mainland/Southwest,9000,9000,Fraser Valley,Fraser Valley,Fraser Valley,9056,Mission,DM,NA
Mainland/Southwest,9000,9000,Fraser Valley,Fraser Valley,Fraser Valley,9999,Unincorporated Areas,RDR,NA
Mainland/Southwest,15000,15000,Greater Vancouver,Metro Vancouver,Metro Vancouver,15038,Anmore,VL,Rest of Metro Vancouver
Mainland/Southwest,15000,15000,Greater Vancouver,Metro Vancouver,Metro Vancouver,15036,Belcarra,VL,Rest of Metro Vancouver
Mainland/Southwest,15000,15000,Greater Vancouver,Metro Vancouver,Metro Vancouver,15062,Bowen Island,IM,Rest of Metro Vancouver
Mainland/Southwest,15000,15000,Greater Vancouver,Metro Vancouver,Metro Vancouver,15025,Burnaby,CY,Burnaby
Mainland/Southwest,15000,15000,Greater Vancouver,Metro Vancouver,Metro Vancouver,15034,Coquitlam,CY,Rest of Metro Vancouver
Mainland/Southwest,15000,15000,Greater Vancouver,Metro Vancouver,Metro Vancouver,15011,Delta,DM,Rest of Metro Vancouver
Mainland/Southwest,15000,15000,Greater Vancouver,Metro Vancouver,Metro Vancouver,15002,"Langley, City of",CY,Rest of Metro Vancouver
Mainland/Southwest,15000,15000,Greater Vancouver,Metro Vancouver,Metro Vancouver,15001,"Langley, District Municipality",DM,Rest of Metro Vancouver
Mainland/Southwest,15000,15000,Greater Vancouver,Metro Vancouver,Metro Vancouver,15065,Lions Bay,VL,Rest of Metro Vancouver
Mainland/Southwest,15000,15000,Greater Vancouver,Metro Vancouver,Metro Vancouver,15075,Maple Ridge,CY,Rest of Metro Vancouver
Mainland/Southwest,15000,15000,Greater Vancouver,Metro Vancouver,Metro Vancouver,15029,New Westminster,CY,Rest of Metro Vancouver
Mainland/Southwest,15000,15000,Greater Vancouver,Metro Vancouver,Metro Vancouver,15051,"North Vancouver, City of",CY,Rest of Metro Vancouver
Mainland/Southwest,15000,15000,Greater Vancouver,Metro Vancouver,Metro Vancouver,15046,"North Vancouver, District Municipality",DM,Rest of Metro Vancouver
Mainland/Southwest,15000,15000,Greater Vancouver,Metro Vancouver,Metro Vancouver,15070,Pitt Meadows,CY,Rest of Metro Vancouver
Mainland/Southwest,15000,15000,Greater Vancouver,Metro Vancouver,Metro Vancouver,15039,Port Coquitlam,CY,Rest of Metro Vancouver
Mainland/Southwest,15000,15000,Greater Vancouver,Metro Vancouver,Metro Vancouver,15043,Port Moody,CY,Rest of Metro Vancouver
Mainland/Southwest,15000,15000,Greater Vancouver,Metro Vancouver,Metro Vancouver,15015,Richmond,CY,Richmond
Mainland/Southwest,15000,15000,Greater Vancouver,Metro Vancouver,Metro Vancouver,15004,Surrey,CY,Surrey
Mainland/Southwest,15000,15000,Greater Vancouver,Metro Vancouver,Metro Vancouver,15022,Vancouver,CY,Vancouver
Mainland/Southwest,15000,15000,Greater Vancouver,Metro Vancouver,Metro Vancouver,15055,West Vancouver,DM,Rest of Metro Vancouver
Mainland/Southwest,15000,15000,Greater Vancouver,Metro Vancouver,Metro Vancouver,15007,White Rock,CY,Rest of Metro Vancouver
Mainland/Southwest,15000,15000,Greater Vancouver,Metro Vancouver,Metro Vancouver,15999,Unincorporated Areas,RDR,Rest of Metro Vancouver
Vancouver Island/Coast,17000,17000,Capital,Capital,Capital,17015,Central Saanich,DM,Peninsula & Westshore
Vancouver Island/Coast,17000,17000,Capital,Capital,Capital,17041,Colwood,CY,Peninsula & Westshore
Vancouver Island/Coast,17000,17000,Capital,Capital,Capital,17040,Esquimalt,DM,"Victoria, Esquimalt, Oak Bay, Saanich & View Royal"
Vancouver Island/Coast,17000,17000,Capital,Capital,Capital,17049,Highlands,DM,Peninsula & Westshore
Vancouver Island/Coast,17000,17000,Capital,Capital,Capital,17044,Langford,CY,Peninsula & Westshore
Vancouver Island/Coast,17000,17000,Capital,Capital,Capital,17042,Metchosin,DM,Peninsula & Westshore
Vancouver Island/Coast,17000,17000,Capital,Capital,Capital,17005,North Saanich,DM,Peninsula & Westshore
Vancouver Island/Coast,17000,17000,Capital,Capital,Capital,17030,Oak Bay,DM,"Victoria, Esquimalt, Oak Bay, Saanich & View Royal"
Vancouver Island/Coast,17000,17000,Capital,Capital,Capital,17021,Saanich,DM,"Victoria, Esquimalt, Oak Bay, Saanich & View Royal"
Vancouver Island/Coast,17000,17000,Capital,Capital,Capital,17010,Sidney,T,Peninsula & Westshore
Vancouver Island/Coast,17000,17000,Capital,Capital,Capital,17052,Sooke,DM,Peninsula & Westshore
Vancouver Island/Coast,17000,17000,Capital,Capital,Capital,17034,Victoria,CY,"Victoria, Esquimalt, Oak Bay, Saanich & View Royal"
Vancouver Island/Coast,17000,17000,Capital,Capital,Capital,17047,View Royal,T,"Victoria, Esquimalt, Oak Bay, Saanich & View Royal"
Vancouver Island/Coast,17000,17000,Capital,Capital,Capital,17999,Unincorporated Areas,RDR,Peninsula & Westshore
Vancouver Island/Coast,19000,19000,Cowichan Valley,Cowichan Valley,Cowichan Valley,19012,Duncan,CY,NA
Vancouver Island/Coast,19000,19000,Cowichan Valley,Cowichan Valley,Cowichan Valley,19021,Ladysmith,T,NA
Vancouver Island/Coast,19000,19000,Cowichan Valley,Cowichan Valley,Cowichan Valley,19016,Lake Cowichan,T,NA
Vancouver Island/Coast,19000,19000,Cowichan Valley,Cowichan Valley,Cowichan Valley,19008,North Cowichan,DM,NA
Vancouver Island/Coast,19000,19000,Cowichan Valley,Cowichan Valley,Cowichan Valley,19999,Unincorporated Areas,RDR,NA
Vancouver Island/Coast,21000,21000,Nanaimo,Nanaimo,Nanaimo,21008,Lantzville,DM,NA
Vancouver Island/Coast,21000,21000,Nanaimo,Nanaimo,Nanaimo,21007,Nanaimo,CY,NA
Vancouver Island/Coast,21000,21000,Nanaimo,Nanaimo,Nanaimo,21018,Parksville,CY,NA
Vancouver Island/Coast,21000,21000,Nanaimo,Nanaimo,Nanaimo,21023,Qualicum Beach,T,NA
Vancouver Island/Coast,21000,21000,Nanaimo,Nanaimo,Nanaimo,21999,Unincorporated Areas,RDR,NA
Vancouver Island/Coast,23000,23000,Alberni-Clayoquot,Alberni-Clayoquot,Alberni-Clayoquot,23008,Port Alberni,CY,NA
Vancouver Island/Coast,23000,23000,Alberni-Clayoquot,Alberni-Clayoquot,Alberni-Clayoquot,23025,Tofino,DM,NA
Vancouver Island/Coast,23000,23000,Alberni-Clayoquot,Alberni-Clayoquot,Alberni-Clayoquot,23019,Ucluelet,DM,NA
Vancouver Island/Coast,23000,23000,Alberni-Clayoquot,Alberni-Clayoquot,Alberni-Clayoquot,23999,Unincorporated Areas,RDR,NA
Vancouver Island/Coast,24000,24000,Strathcona,Strathcona,Strathcona,24034,Campbell River,CY,NA
Vancouver Island/Coast,24000,24000,Strathcona,Strathcona,Strathcona,24025,Gold River,VL,NA
Vancouver Island/Coast,24000,24000,Strathcona,Strathcona,Strathcona,24039,Sayward,VL,NA
Vancouver Island/Coast,24000,24000,Strathcona,Strathcona,Strathcona,24030,Tahsis,VL,NA
Vancouver Island/Coast,24000,24000,Strathcona,Strathcona,Strathcona,24029,Zeballos,VL,NA
Vancouver Island/Coast,24000,24000,Strathcona,Strathcona,Strathcona,24999,Unincorporated Areas,RDR,NA
Vancouver Island/Coast,26000,26000,Comox,Comox,Comox,26005,Comox,T,NA
Vancouver Island/Coast,26000,26000,Comox,Comox,Comox,26010,Courtenay,CY,NA
Vancouver Island/Coast,26000,26000,Comox,Comox,Comox,26014,Cumberland,VL,NA
Vancouver Island/Coast,26000,26000,Comox,Comox,Comox,26999,Unincorporated Areas,RDR,NA
Vancouver Island/Coast,27000,27000,Powell River,Powell River,POWELL RIVER-MOUNT WADDINGTON,27008,Powell River,CY,NA
Vancouver Island/Coast,27000,27000,Powell River,Powell River,POWELL RIVER-MOUNT WADDINGTON,27806,Sechelt Ind Gov Dist (Part-Powell River),IGD,NA
Vancouver Island/Coast,27000,27000,Powell River,Powell River,POWELL RIVER-MOUNT WADDINGTON,27999,Unincorporated Areas,RDR,NA
Mainland/Southwest,29000,29000,Sunshine Coast,Sunshine Coast,Sunshine Coast,29005,Gibsons,T,NA
Mainland/Southwest,29000,29000,Sunshine Coast,Sunshine Coast,Sunshine Coast,29803,Sechelt Ind Gov Dist (Part-Sunshine Coast),IGD,NA
Mainland/Southwest,29000,29000,Sunshine Coast,Sunshine Coast,Sunshine Coast,29011,Sechelt District Municipality,DM,NA
Mainland/Southwest,29000,29000,Sunshine Coast,Sunshine Coast,Sunshine Coast,29999,Unincorporated Areas,RDR,NA
Mainland/Southwest,31000,31000,Squamish-Lillooet,Squamish-Lillooet,Squamish-Lillooet,31026,Lillooet,DM,Rest of Squamish-Lillooet
Mainland/Southwest,31000,31000,Squamish-Lillooet,Squamish-Lillooet,Squamish-Lillooet,31012,Pemberton,VL,Rest of Squamish-Lillooet
Mainland/Southwest,31000,31000,Squamish-Lillooet,Squamish-Lillooet,Squamish-Lillooet,31006,Squamish,DM,Rest of Squamish-Lillooet
Mainland/Southwest,31000,31000,Squamish-Lillooet,Squamish-Lillooet,Squamish-Lillooet,31020,Whistler,DM,Whistler
Mainland/Southwest,31000,31000,Squamish-Lillooet,Squamish-Lillooet,Squamish-Lillooet,31999,Unincorporated Areas,RDR,Rest of Squamish-Lillooet
Thompson/Okanagan,33000,33000,Thompson-Nicola,Thompson-Nicola,Thompson-Nicola,33019,Ashcroft,VL,NA
Thompson/Okanagan,33000,33000,Thompson-Nicola,Thompson-Nicola,Thompson-Nicola,33074,Barriere,DM,NA
Thompson/Okanagan,33000,33000,Thompson-Nicola,Thompson-Nicola,Thompson-Nicola,33024,Cache Creek,VL,NA
Thompson/Okanagan,33000,33000,Thompson-Nicola,Thompson-Nicola,Thompson-Nicola,33054,Chase,VL,NA
Thompson/Okanagan,33000,33000,Thompson-Nicola,Thompson-Nicola,Thompson-Nicola,33067,Clearwater,DM,NA
Thompson/Okanagan,33000,33000,Thompson-Nicola,Thompson-Nicola,Thompson-Nicola,33028,Clinton,VL,NA
Thompson/Okanagan,33000,33000,Thompson-Nicola,Thompson-Nicola,Thompson-Nicola,33042,Kamloops,CY,NA
Thompson/Okanagan,33000,33000,Thompson-Nicola,Thompson-Nicola,Thompson-Nicola,33035,Logan Lake,DM,NA
Thompson/Okanagan,33000,33000,Thompson-Nicola,Thompson-Nicola,Thompson-Nicola,33015,Lytton,VL,NA
Thompson/Okanagan,33000,33000,Thompson-Nicola,Thompson-Nicola,Thompson-Nicola,33006,Merritt,CY,NA
Thompson/Okanagan,33000,33000,Thompson-Nicola,Thompson-Nicola,Thompson-Nicola,33045,Sun Peaks Mountain,VL,NA
Thompson/Okanagan,33000,33000,Thompson-Nicola,Thompson-Nicola,Thompson-Nicola,33999,Unincorporated Areas,RDR,NA
Thompson/Okanagan,35000,35000,Central Okanagan,Central Okanagan,Central Okanagan,35010,Kelowna,CY,Kelowna
Thompson/Okanagan,35000,35000,Central Okanagan,Central Okanagan,Central Okanagan,35016,Lake Country,DM,Rest of Central Okanagan
Thompson/Okanagan,35000,35000,Central Okanagan,Central Okanagan,Central Okanagan,35018,Peachland,DM,Rest of Central Okanagan
Thompson/Okanagan,35000,35000,Central Okanagan,Central Okanagan,Central Okanagan,35029,West Kelowna,DM,Rest of Central Okanagan
Thompson/Okanagan,35000,35000,Central Okanagan,Central Okanagan,Central Okanagan,35999,Unincorporated Areas,RDR,Rest of Central Okanagan
Thompson/Okanagan,37000,37000,North Okanagan,North Okanagan,North Okanagan,37028,Armstrong,CY,NA
Thompson/Okanagan,37000,37000,North Okanagan,North Okanagan,North Okanagan,37010,Coldstream,DM,NA
Thompson/Okanagan,37000,37000,North Okanagan,North Okanagan,North Okanagan,37033,Enderby,CY,NA
Thompson/Okanagan,37000,37000,North Okanagan,North Okanagan,North Okanagan,37005,Lumby,VL,NA
Thompson/Okanagan,37000,37000,North Okanagan,North Okanagan,North Okanagan,37024,Spallumcheen,DM,NA
Thompson/Okanagan,37000,37000,North Okanagan,North Okanagan,North Okanagan,37014,Vernon,CY,NA
Thompson/Okanagan,37000,37000,North Okanagan,North Okanagan,North Okanagan,37999,Unincorporated Areas,RDR,NA
Thompson/Okanagan,39000,39000,Columbia-Shuswap,Columbia Shuswap,Columbia Shuswap,39007,Golden,T,NA
Thompson/Okanagan,39000,39000,Columbia-Shuswap,Columbia Shuswap,Columbia Shuswap,39019,Revelstoke,CY,NA
Thompson/Okanagan,39000,39000,Columbia-Shuswap,Columbia Shuswap,Columbia Shuswap,39032,Salmon Arm,CY,NA
Thompson/Okanagan,39000,39000,Columbia-Shuswap,Columbia Shuswap,Columbia Shuswap,39045,Sicamous,DM,NA
Thompson/Okanagan,39000,39000,Columbia-Shuswap,Columbia Shuswap,Columbia Shuswap,39999,Unincorporated Areas,RDR,NA
Cariboo,41000,41000,Cariboo,Cariboo,Cariboo,41005,One Hundred Mile House,DM,NA
Cariboo,41000,41000,Cariboo,Cariboo,Cariboo,41013,Quesnel,CY,NA
Cariboo,41000,41000,Cariboo,Cariboo,Cariboo,41025,Wells,DM,NA
Cariboo,41000,41000,Cariboo,Cariboo,Cariboo,41009,Williams Lake,CY,NA
Cariboo,41000,41000,Cariboo,Cariboo,Cariboo,41999,Unincorporated Areas,RDR,NA
Vancouver Island/Coast,43000,43000,Mount Waddington,Mount Waddington,POWELL RIVER-MOUNT WADDINGTON,43008,Alert Bay,VL,NA
Vancouver Island/Coast,43000,43000,Mount Waddington,Mount Waddington,POWELL RIVER-MOUNT WADDINGTON,43017,Port Alice,VL,NA
Vancouver Island/Coast,43000,43000,Mount Waddington,Mount Waddington,POWELL RIVER-MOUNT WADDINGTON,43023,Port Hardy,DM,NA
Vancouver Island/Coast,43000,43000,Mount Waddington,Mount Waddington,POWELL RIVER-MOUNT WADDINGTON,43012,Port McNeill,T,NA
Vancouver Island/Coast,43000,43000,Mount Waddington,Mount Waddington,POWELL RIVER-MOUNT WADDINGTON,43999,Unincorporated Areas,RDR,NA
Vancouver Island/Coast,45000,45000,Central Coast,Central Coast,Central Coast,45000,Central Coast,RD,NA
North Coast,47000,47000,Skeena-Queen Charlotte,North Coast,KITIMAT-STIKINE-NORTH COAST,47023,Masset,VL,NA
North Coast,47000,47000,Skeena-Queen Charlotte,North Coast,KITIMAT-STIKINE-NORTH COAST,47030,Port Clements,VL,NA
North Coast,47000,47000,Skeena-Queen Charlotte,North Coast,KITIMAT-STIKINE-NORTH COAST,47007,Port Edward,DM,NA
North Coast,47000,47000,Skeena-Queen Charlotte,North Coast,KITIMAT-STIKINE-NORTH COAST,47012,Prince Rupert,CY,NA
North Coast,47000,47000,Skeena-Queen Charlotte,North Coast,KITIMAT-STIKINE-NORTH COAST,47026,Queen Charlotte,VL,NA
North Coast,47000,47000,Skeena-Queen Charlotte,North Coast,KITIMAT-STIKINE-NORTH COAST,47999,Unincorporated Areas,RDR,NA
North Coast,49000,49000,Kitimat-Stikine,Kitimat-Stikine,KITIMAT-STIKINE-NORTH COAST,49022,Hazelton,VL,NA
North Coast,49000,49000,Kitimat-Stikine,Kitimat-Stikine,KITIMAT-STIKINE-NORTH COAST,49005,Kitimat,DM,NA
North Coast,49000,49000,Kitimat-Stikine,Kitimat-Stikine,KITIMAT-STIKINE-NORTH COAST,49024,New Hazelton,DM,NA
North Coast,49000,49000,Kitimat-Stikine,Kitimat-Stikine,KITIMAT-STIKINE-NORTH COAST,49032,Stewart,DM,NA
North Coast,49000,49000,Kitimat-Stikine,Kitimat-Stikine,KITIMAT-STIKINE-NORTH COAST,49011,Terrace,CY,NA
North Coast,49000,49000,Kitimat-Stikine,Kitimat-Stikine,KITIMAT-STIKINE-NORTH COAST,49999,Unincorporated Areas,RDR,NA
Nechako,51000,51000,Bulkley-Nechako,Bulkley-Nechako,Bulkley-Nechako,51022,Burns Lake,VL,NA
Nechako,51000,51000,Bulkley-Nechako,Bulkley-Nechako,Bulkley-Nechako,51013,Fort St. James,DM,NA
Nechako,51000,51000,Bulkley-Nechako,Bulkley-Nechako,Bulkley-Nechako,51009,Fraser Lake,VL,NA
Nechako,51000,51000,Bulkley-Nechako,Bulkley-Nechako,Bulkley-Nechako,51032,Granisle,VL,NA
Nechako,51000,51000,Bulkley-Nechako,Bulkley-Nechako,Bulkley-Nechako,51034,Houston,DM,NA
Nechako,51000,51000,Bulkley-Nechako,Bulkley-Nechako,Bulkley-Nechako,51043,Smithers,T,NA
Nechako,51000,51000,Bulkley-Nechako,Bulkley-Nechako,Bulkley-Nechako,51038,Telkwa,VL,NA
Nechako,51000,51000,Bulkley-Nechako,Bulkley-Nechako,Bulkley-Nechako,51007,Vanderhoof,DM,NA
Nechako,51000,51000,Bulkley-Nechako,Bulkley-Nechako,Bulkley-Nechako,51999,Unincorporated Areas,RDR,NA
Cariboo,53000,53000,Fraser-Fort George,Fraser-Fort George,Fraser-Fort George,53033,Mackenzie,DM,NA
Cariboo,53000,53000,Fraser-Fort George,Fraser-Fort George,Fraser-Fort George,53012,McBride,VL,NA
Cariboo,53000,53000,Fraser-Fort George,Fraser-Fort George,Fraser-Fort George,53023,Prince George,CY,NA
Cariboo,53000,53000,Fraser-Fort George,Fraser-Fort George,Fraser-Fort George,53007,Valemount,VL,NA
Cariboo,53000,53000,Fraser-Fort George,Fraser-Fort George,Fraser-Fort George,53999,Unincorporated Areas,RDR,NA
Northeast,55000,55000,Peace River,Peace River,NORTHERN ROCKIES-PEACE RIVER,55010,Chetwynd,DM,NA
Northeast,55000,55000,Peace River,Peace River,NORTHERN ROCKIES-PEACE RIVER,55014,Dawson Creek,CY,NA
Northeast,55000,55000,Peace River,Peace River,NORTHERN ROCKIES-PEACE RIVER,55034,Fort St. John,CY,NA
Northeast,55000,55000,Peace River,Peace River,NORTHERN ROCKIES-PEACE RIVER,55025,Hudson's Hope,DM,NA
Northeast,55000,55000,Peace River,Peace River,NORTHERN ROCKIES-PEACE RIVER,55005,Pouce Coupe,VL,NA
Northeast,55000,55000,Peace River,Peace River,NORTHERN ROCKIES-PEACE RIVER,55030,Taylor,DM,NA
Northeast,55000,55000,Peace River,Peace River,NORTHERN ROCKIES-PEACE RIVER,55003,Tumbler Ridge,DM,NA
Northeast,55000,55000,Peace River,Peace River,NORTHERN ROCKIES-PEACE RIVER,55999,Unincorporated Areas,RDR,NA
Nechako,57000,57000,Stikine,Stikine,Stikine,57000,Stikine,R,NA
Northeast,59000,59000,Northern Rockies,Northern Rockies,NORTHERN ROCKIES-PEACE RIVER,59007,Northern Rockies Regional Municipality,RGM,NA
Northeast,59000,59000,Northern Rockies,Northern Rockies,NORTHERN ROCKIES-PEACE RIVER,59999,Unincorporated Areas,RDR,NA
