DevelopmentRegion,SGC,SGC_5digit,Regional District,RD-name-2,RD-PTT-grp,SGC,Name,Area Type,,,
Kootenay ,1000,01000,East Kootenay,East Kootenay,East Kootenay,1043,     Canal Flats,VL,,,
Kootenay ,1000,01000,East Kootenay,East Kootenay,East Kootenay,1022,     Cranbrook,CY,,,
Kootenay ,1000,01000,East Kootenay,East Kootenay,East Kootenay,1003,     Elkford,DM,,,
Kootenay ,1000,01000,East Kootenay,East Kootenay,East Kootenay,1012,     Fernie,CY,,,
Kootenay ,1000,01000,East Kootenay,East Kootenay,East Kootenay,1039,     Invermere,DM,,,
Kootenay ,1000,01000,East Kootenay,East Kootenay,East Kootenay,1028,     Kimberley,CY,,,
Kootenay ,1000,01000,East Kootenay,East Kootenay,East Kootenay,1040,     Radium Hot Springs,VL,,,
Kootenay ,1000,01000,East Kootenay,East Kootenay,East Kootenay,1006,     Sparwood,DM,,,
Kootenay ,1000,01000,East Kootenay,East Kootenay,East Kootenay,1999,     Unincorporated Areas,RDR,,,
Kootenay ,3000,03000,Central Kootenay,Central Kootenay,Central Kootenay,3045,     Castlegar,CY,,,
Kootenay ,3000,03000,Central Kootenay,Central Kootenay,Central Kootenay,3004,     Creston,T,,,
Kootenay ,3000,03000,Central Kootenay,Central Kootenay,Central Kootenay,3023,     Kaslo,VL,,,
Kootenay ,3000,03000,Central Kootenay,Central Kootenay,Central Kootenay,3050,     Nakusp,VL,,,
Kootenay ,3000,03000,Central Kootenay,Central Kootenay,Central Kootenay,3015,     Nelson,CY,,,
Kootenay ,3000,03000,Central Kootenay,Central Kootenay,Central Kootenay,3032,     New Denver,VL,,,
Kootenay ,3000,03000,Central Kootenay,Central Kootenay,Central Kootenay,3011,     Salmo,VL,,,
Kootenay ,3000,03000,Central Kootenay,Central Kootenay,Central Kootenay,3027,     Silverton,VL,,,
Kootenay ,3000,03000,Central Kootenay,Central Kootenay,Central Kootenay,3019,     Slocan,VL,,,
Kootenay ,3000,03000,Central Kootenay,Central Kootenay,Central Kootenay,3999,     Unincorporated Areas,RDR,,,
Kootenay ,5000,05000,Kootenay-Boundary,Kootenay-Boundary,Kootenay-Boundary,5005,     Fruitvale,VL,,,
Kootenay ,5000,05000,Kootenay-Boundary,Kootenay-Boundary,Kootenay-Boundary,5032,     Grand Forks,CY,,,
Kootenay ,5000,05000,Kootenay-Boundary,Kootenay-Boundary,Kootenay-Boundary,5042,     Greenwood,CY,,,
Kootenay ,5000,05000,Kootenay-Boundary,Kootenay-Boundary,Kootenay-Boundary,5037,     Midway,VL,,,
Kootenay ,5000,05000,Kootenay-Boundary,Kootenay-Boundary,Kootenay-Boundary,5009,     Montrose,VL,,,
Kootenay ,5000,05000,Kootenay-Boundary,Kootenay-Boundary,Kootenay-Boundary,5023,     Rossland,CY,,,
Kootenay ,5000,05000,Kootenay-Boundary,Kootenay-Boundary,Kootenay-Boundary,5014,     Trail,CY,,,
Kootenay ,5000,05000,Kootenay-Boundary,Kootenay-Boundary,Kootenay-Boundary,5018,     Warfield,VL,,,
Kootenay ,5000,05000,Kootenay-Boundary,Kootenay-Boundary,Kootenay-Boundary,5999,     Unincorporated Areas,RDR,,,
Thompson/Okanagan,7000,07000,Okanagan-Similkameen,Okanagan-Similkameen,Okanagan-Similkameen,7009,     Keremeos,VL,,,
Thompson/Okanagan,7000,07000,Okanagan-Similkameen,Okanagan-Similkameen,Okanagan-Similkameen,7014,     Oliver,T,,,
Thompson/Okanagan,7000,07000,Okanagan-Similkameen,Okanagan-Similkameen,Okanagan-Similkameen,7005,     Osoyoos,T,,,
Thompson/Okanagan,7000,07000,Okanagan-Similkameen,Okanagan-Similkameen,Okanagan-Similkameen,7041,     Penticton,CY,,,
Thompson/Okanagan,7000,07000,Okanagan-Similkameen,Okanagan-Similkameen,Okanagan-Similkameen,7024,     Princeton,T,,,
Thompson/Okanagan,7000,07000,Okanagan-Similkameen,Okanagan-Similkameen,Okanagan-Similkameen,7035,     Summerland,DM,,,
Thompson/Okanagan,7000,07000,Okanagan-Similkameen,Okanagan-Similkameen,Okanagan-Similkameen,7999,     Unincorporated Areas,RDR,,,
Mainland/Southwest,9000,09000,Fraser Valley,Fraser Valley,Fraser Valley,9052,     Abbotsford,CY,,,
Mainland/Southwest,9000,09000,Fraser Valley,Fraser Valley,Fraser Valley,9020,     Chilliwack,CY,,,
Mainland/Southwest,9000,09000,Fraser Valley,Fraser Valley,Fraser Valley,9027,     Harrison Hot Springs,VL,,,
Mainland/Southwest,9000,09000,Fraser Valley,Fraser Valley,Fraser Valley,9009,     Hope,DM,,,
Mainland/Southwest,9000,09000,Fraser Valley,Fraser Valley,Fraser Valley,9032,     Kent,DM,,,
Mainland/Southwest,9000,09000,Fraser Valley,Fraser Valley,Fraser Valley,9056,     Mission,DM,,,
Mainland/Southwest,9000,09000,Fraser Valley,Fraser Valley,Fraser Valley,9999,     Unincorporated Areas,RDR,,,
Mainland/Southwest,15000,15000,Greater Vancouver,Metro Vancouver,Metro Vancouver,15038,     Anmore,VL,,,
Mainland/Southwest,15000,15000,Greater Vancouver,Metro Vancouver,Metro Vancouver,15036,     Belcarra,VL,,,
Mainland/Southwest,15000,15000,Greater Vancouver,Metro Vancouver,Metro Vancouver,15062,     Bowen Island,IM,,,
Mainland/Southwest,15000,15000,Greater Vancouver,Metro Vancouver,Metro Vancouver,15025,     Burnaby,CY,,,
Mainland/Southwest,15000,15000,Greater Vancouver,Metro Vancouver,Metro Vancouver,15034,     Coquitlam,CY,,,
Mainland/Southwest,15000,15000,Greater Vancouver,Metro Vancouver,Metro Vancouver,15011,     Delta,DM,,,
Mainland/Southwest,15000,15000,Greater Vancouver,Metro Vancouver,Metro Vancouver,15002,"     Langley, City of",CY,,,
Mainland/Southwest,15000,15000,Greater Vancouver,Metro Vancouver,Metro Vancouver,15001,"     Langley, District Municipality",DM,,,
Mainland/Southwest,15000,15000,Greater Vancouver,Metro Vancouver,Metro Vancouver,15065,     Lions Bay,VL,,,
Mainland/Southwest,15000,15000,Greater Vancouver,Metro Vancouver,Metro Vancouver,15075,     Maple Ridge,CY,,,
Mainland/Southwest,15000,15000,Greater Vancouver,Metro Vancouver,Metro Vancouver,15029,     New Westminster,CY,,,
Mainland/Southwest,15000,15000,Greater Vancouver,Metro Vancouver,Metro Vancouver,15051,"     North Vancouver, City of",CY,,,
Mainland/Southwest,15000,15000,Greater Vancouver,Metro Vancouver,Metro Vancouver,15046,"     North Vancouver, District Municipality",DM,,,
Mainland/Southwest,15000,15000,Greater Vancouver,Metro Vancouver,Metro Vancouver,15070,     Pitt Meadows,CY,,,
Mainland/Southwest,15000,15000,Greater Vancouver,Metro Vancouver,Metro Vancouver,15039,     Port Coquitlam,CY,,,
Mainland/Southwest,15000,15000,Greater Vancouver,Metro Vancouver,Metro Vancouver,15043,     Port Moody,CY,,,
Mainland/Southwest,15000,15000,Greater Vancouver,Metro Vancouver,Metro Vancouver,15015,     Richmond,CY,,,
Mainland/Southwest,15000,15000,Greater Vancouver,Metro Vancouver,Metro Vancouver,15004,     Surrey,CY,,,
Mainland/Southwest,15000,15000,Greater Vancouver,Metro Vancouver,Metro Vancouver,15022,     Vancouver,CY,,,
Mainland/Southwest,15000,15000,Greater Vancouver,Metro Vancouver,Metro Vancouver,15055,     West Vancouver,DM,,,
Mainland/Southwest,15000,15000,Greater Vancouver,Metro Vancouver,Metro Vancouver,15007,     White Rock,CY,,,
Mainland/Southwest,15000,15000,Greater Vancouver,Metro Vancouver,Metro Vancouver,15999,     Unincorporated Areas,RDR,,,
Vancouver Island/Coast,17000,17000,Capital,Capital,Capital,17015,     Central Saanich,DM,,,
Vancouver Island/Coast,17000,17000,Capital,Capital,Capital,17041,     Colwood,CY,,,
